"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678693799496243E9,"2023-03-13 00:49:59.496 UTC-07:00"
"PAUSE",5.951126833359012E0,1.678693805447395E9,"2023-03-13 00:50:05.447 UTC-07:00"
