"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678693886020198E9,"2023-03-13 00:51:26.020 UTC-07:00"
"PAUSE",5.966521916649072E0,1.678693891986691E9,"2023-03-13 00:51:31.987 UTC-07:00"
