time,accel_z
1678644806.845215,1954
1678644806.845242,1952
1678644806.8452601,1952
1678644806.8452742,1952
1678644806.8452868,1951
1678644806.846339,1952
1678644806.847019,1950
1678644806.8473248,1949
1678644806.847737,1949
1678644806.847755,1949
1678644806.8477702,1950
1678644806.8478389,1952
1678644806.8486662,1953
1678644806.8486981,1952
1678644806.848788,1953
1678644806.849306,1955
1678644806.849335,1955
1678644806.849416,1957
1678644806.849983,1957
1678644806.8501031,1959
1678644806.8501241,1961
1678644806.8506901,1961
1678644806.85071,1961
1678644806.8507252,1960
1678644806.850848,1958
1678644806.85128,1955
1678644806.851309,1952
1678644806.851389,1949
1678644806.851881,1945
1678644806.852153,1941
1678644806.852221,1938
1678644806.852355,1936
1678644806.8527832,1933
1678644806.8528,1931
1678644806.852853,1928
1678644806.853544,1927
1678644806.853608,1926
1678644806.853643,1925
1678644806.853659,1924
1678644806.853685,1925
1678644806.853756,1925
1678644806.853801,1925
1678644806.854653,1925
1678644806.8547509,1926
1678644806.855055,1927
1678644806.85549,1927
1678644806.855519,1928
1678644806.8558562,1928
1678644806.8563552,1928
1678644806.856385,1928
1678644806.8565,1929
1678644806.857004,1931
1678644806.857028,1934
1678644806.8576488,1938
1678644806.87964,1941
1678644806.879807,1947
1678644806.879841,1953
1678644806.87995,1957
1678644806.8799732,1963
1678644806.879991,1967
1678644806.8800058,1970
1678644806.880021,1973
1678644806.8800352,1975
1678644806.88006,1974
1678644806.880151,1973
1678644806.880172,1971
1678644806.880241,1970
1678644806.88026,1969
1678644806.880275,1967
1678644806.8802938,1964
1678644806.880374,1964
1678644806.881995,1962
1678644806.882296,1959
1678644806.882644,1957
1678644806.882752,1955
1678644806.882774,1954
1678644806.8833861,1951
1678644806.8834848,1948
1678644806.883924,1946
1678644806.8840902,1942
1678644806.884253,1937
1678644806.884367,1931
1678644806.884424,1925
1678644806.885045,1919
1678644806.885186,1914
1678644806.885582,1909
1678644806.885607,1906
1678644806.885668,1902
1678644806.885702,1901
1678644806.8863628,1904
1678644806.898613,1911
1678644806.898632,1917
1678644806.898647,1913
1678644806.898717,1913
1678644806.8987598,1912
1678644806.898787,1917
1678644806.898829,1924
1678644806.915086,1929
1678644806.9151108,1940
1678644806.915125,1944
1678644806.915148,1949
1678644806.9153569,1954
1678644806.927018,1955
1678644806.927115,1955
1678644806.927131,1955
1678644806.927146,1955
1678644806.927288,1953
1678644806.9273138,1954
1678644806.927888,1953
1678644806.9365718,1953
1678644806.936662,1953
1678644806.936865,1954
1678644806.944294,1955
1678644806.9443169,1958
1678644806.9443321,1957
1678644806.9443572,1956
1678644806.953693,1956
1678644806.954908,1955
1678644806.95591,1955
1678644806.9653702,1957
1678644806.9655008,1954
1678644806.9655218,1952
1678644806.965612,1947
1678644806.965633,1942
1678644806.9741492,1937
1678644806.9743192,1934
1678644806.974921,1931
1678644806.9859252,1929
1678644806.985943,1928
1678644806.9859562,1928
1678644806.985972,1927
1678644806.9953449,1926
1678644806.995371,1925
1678644806.995431,1923
1678644806.995594,1921
1678644807.008064,1921
1678644807.008091,1922
1678644807.0082188,1922
1678644807.008241,1922
1678644807.02401,1921
1678644807.024033,1918
1678644807.024079,1914
