time,accel_z
1678644760.238993,1851
1678644760.239042,1836
1678644760.2390652,1809
1678644760.2391438,1807
1678644760.246656,1796
1678644760.24673,1772
1678644760.2468631,1767
1678644760.258285,1765
1678644760.258313,1775
1678644760.258414,1792
1678644760.258433,1806
1678644760.269001,1813
1678644760.2690492,1814
1678644760.269186,1803
1678644760.26921,1804
1678644760.276474,1802
1678644760.276501,1797
1678644760.27663,1810
1678644760.2766552,1817
1678644760.286068,1822
1678644760.2862132,1842
1678644760.286465,1844
1678644760.295661,1846
1678644760.29575,1865
1678644760.2958138,1864
1678644760.3061209,1878
1678644760.3061702,1900
1678644760.306192,1908
1678644760.3062248,1915
1678644760.30625,1917
1678644760.315755,1915
1678644760.3157818,1917
1678644760.315805,1923
1678644760.325266,1930
1678644760.32532,1939
1678644760.325461,1946
1678644760.325577,1956
1678644760.335834,1965
1678644760.335863,1984
1678644760.3358898,1974
1678644760.335914,1998
1678644760.346138,26
1678644760.3461661,45
1678644760.34619,52
1678644760.346355,56
1678644760.355989,62
1678644760.3561118,70
1678644760.356141,78
1678644760.356161,91
1678644760.356191,103
1678644760.364755,108
1678644760.364801,116
1678644760.364823,127
1678644760.3741598,140
1678644760.374191,164
1678644760.374391,184
1678644760.3835678,201
1678644760.383606,240
1678644760.383689,280
1678644760.383769,318
1678644760.394339,347
1678644760.39437,359
1678644760.394445,362
1678644760.395116,365
1678644760.402875,365
1678644760.402946,359
1678644760.402962,353
1678644760.40298,342
1678644760.410702,333
1678644760.410733,313
1678644760.410847,293
1678644760.420547,275
1678644760.420568,255
1678644760.4205859,229
1678644760.420747,205
1678644760.432124,181
1678644760.4321458,153
1678644760.4321978,143
1678644760.4322188,143
1678644760.432414,115
1678644760.440665,83
1678644760.4407349,77
1678644760.440804,71
1678644760.4525619,69
1678644760.452977,74
1678644760.4536471,74
1678644760.453879,73
1678644760.46435,83
1678644760.464479,91
1678644760.4644978,96
1678644760.464512,98
1678644760.464531,98
1678644760.4646,102
1678644760.4739141,107
1678644760.47411,108
1678644760.474179,110
1678644760.474997,112
1678644760.4835079,101
1678644760.4835808,97
1678644760.483659,101
1678644760.492194,109
1678644760.492216,122
1678644760.493084,130
1678644760.5066009,140
1678644760.506689,158
1678644760.50671,175
1678644760.507205,192
1678644760.516238,207
1678644760.5162702,212
1678644760.5166662,219
1678644760.5167968,230
1678644760.51684,243
1678644760.516869,269
1678644760.5238552,298
1678644760.523951,306
1678644760.523978,297
1678644760.53234,290
1678644760.532365,278
1678644760.532386,266
1678644760.541926,254
1678644760.541952,238
1678644760.54197,228
1678644760.5420501,220
1678644760.550897,210
1678644760.551061,202
1678644760.551539,194
1678644760.553771,186
1678644760.569371,178
1678644760.56976,167
1678644760.5698152,160
1678644760.569833,156
1678644760.5698528,159
1678644760.576704,161
1678644760.5768661,163
1678644760.5768828,168
1678644760.576898,181
1678644760.576917,167
1678644760.577025,157
1678644760.5855,140
1678644760.585603,124
1678644760.585896,117
1678644760.5959601,109
1678644760.595993,105
1678644760.596042,102
1678644760.604596,100
1678644760.604627,123
1678644760.604743,140
1678644760.6048808,159
1678644760.614172,178
1678644760.614403,203
1678644760.614441,216
1678644760.621517,228
