time,accel_z
1678644042.048974,1
1678644042.050295,2000
1678644042.051487,2
1678644042.051519,4
1678644042.051578,6
1678644042.051612,8
1678644042.0528681,5
1678644042.05289,3
1678644042.052911,2
1678644042.052926,1999
1678644042.052941,1
1678644042.052984,3
1678644042.053924,5
1678644042.054707,8
1678644042.054789,9
1678644042.055302,8
1678644042.0558012,6
1678644042.05582,3
1678644042.05586,1
1678644042.055885,1998
1678644042.055934,1999
1678644042.055955,1
1678644042.0575318,3
1678644042.0580218,5
1678644042.058041,8
1678644042.058058,7
1678644042.058251,6
1678644042.0588531,4
1678644042.0593169,2
1678644042.059341,1
1678644042.05936,2
1678644042.06016,2
1678644042.060689,5
1678644042.0607932,6
1678644042.0608158,5
1678644042.0608299,5
1678644042.060847,3
1678644042.061862,1
1678644042.0619142,2
1678644042.061934,2
1678644042.061952,3
1678644042.062686,5
1678644042.06303,7
1678644042.063381,7
1678644042.0638819,7
1678644042.063912,4
1678644042.063927,2
1678644042.063945,2000
1678644042.064044,2000
1678644042.0640619,1
1678644042.064086,3
1678644042.064905,4
1678644042.064943,6
1678644042.0650408,7
1678644042.065058,6
1678644042.0651178,5
1678644042.0658739,4
1678644042.068903,2
1678644042.077745,2
1678644042.077783,2
1678644042.077802,3
1678644042.0778198,5
1678644042.077836,6
1678644042.077852,5
1678644042.077868,4
1678644042.077881,5
1678644042.077894,6
1678644042.078024,7
1678644042.078045,6
1678644042.078061,5
1678644042.0781388,3
1678644042.078163,1
1678644042.079596,1
1678644042.079726,1
1678644042.079765,3
1678644042.0798578,4
1678644042.0805812,5
1678644042.0807931,6
1678644042.080873,5
1678644042.080906,4
1678644042.08178,4
1678644042.081824,3
1678644042.0818439,2
1678644042.08186,3
1678644042.081881,4
1678644042.082714,4
1678644042.082936,5
1678644042.0833,5
1678644042.0834749,4
1678644042.0837939,4
1678644042.084306,2
1678644042.084328,1
1678644042.084748,2
1678644042.084776,3
1678644042.084805,4
1678644042.084822,6
1678644042.0848398,7
1678644042.085759,6
1678644042.0857768,5
1678644042.08579,4
1678644042.085807,2
1678644042.086445,2
1678644042.086462,2
1678644042.086476,3
1678644042.086505,4
1678644042.087061,5
1678644042.0876002,5
1678644042.087678,4
1678644042.087969,4
1678644042.087989,3
1678644042.088008,4
1678644042.088641,3
1678644042.0886679,4
1678644042.0888078,5
1678644042.088831,5
1678644042.089893,4
1678644042.08998,4
1678644042.089997,3
1678644042.090015,2
1678644042.097384,3
1678644042.0974138,3
1678644042.097483,4
1678644042.108799,5
1678644042.108823,6
1678644042.108941,5
1678644042.115617,5
1678644042.115639,3
1678644042.115659,3
1678644042.12734,3
1678644042.127369,3
1678644042.127449,4
1678644042.1274738,4
1678644042.127559,4
1678644042.139915,4
1678644042.14002,4
1678644042.140204,3
1678644042.144449,3
1678644042.144468,4
1678644042.144489,4
1678644042.144573,5
1678644042.1520262,4
1678644042.152096,4
1678644042.152119,3
1678644042.1638122,2
1678644042.1638432,3
1678644042.163882,2
1678644042.172655,3
1678644042.17275,4
1678644042.172856,5
1678644042.172881,5
1678644042.18191,6
1678644042.1820219,4
1678644042.1820421,3
1678644042.1820621,3
1678644042.189544,3
1678644042.1895921,3
1678644042.18961,3
1678644042.2076192,4
1678644042.207886,4
1678644042.208847,4
1678644042.217066,4
1678644042.217268,4
1678644042.218571,3
1678644042.2195132,4
1678644042.219627,4
1678644042.2196622,4
1678644042.220875,5
1678644042.22099,4
1678644042.240253,4
1678644042.2409642,3
1678644042.24098,3
1678644042.241004,3
1678644042.24106,3
1678644042.250273,4
1678644042.2509,4
1678644042.250918,4
1678644042.250952,5
1678644042.250977,4
1678644042.25166,4
1678644042.252668,4
1678644042.252838,3
1678644042.267678,3
1678644042.26771,3
1678644042.267765,4
1678644042.267787,4
1678644042.2686431,4
1678644042.279228,4
1678644042.279964,4
1678644042.2799842,4
1678644042.280011,4
1678644042.280969,4
1678644042.281527,4
1678644042.282042,4
1678644042.29304,5
1678644042.293071,5
1678644042.293217,4
1678644042.294652,3
1678644042.298469,3
1678644042.309033,3
1678644042.3097322,3
1678644042.309758,3
1678644042.309885,3
1678644042.3108008,4
1678644042.3110578,4
1678644042.312425,4
1678644042.3130088,4
1678644042.322897,4
1678644042.322973,4
1678644042.323055,4
1678644042.323078,4
1678644042.344288,3
1678644042.3445199,3
1678644042.3448162,4
1678644042.344832,4
1678644042.344846,4
1678644042.344862,4
1678644042.344876,3
1678644042.344894,4
1678644042.345981,4
1678644042.3720791,4
1678644042.372111,4
1678644042.372962,4
1678644042.3731148,4
1678644042.3980129,4
1678644042.398043,4
1678644042.398062,3
1678644042.399062,3
1678644042.400557,2
1678644042.4017239,4
1678644042.403059,3
1678644042.403082,4
1678644042.4045599,4
1678644042.405869,5
1678644042.40715,4
1678644042.408874,4
1678644042.41099,3
1678644042.4129689,4
1678644042.415138,3
1678644042.430391,4
1678644042.430497,4
1678644042.430527,3
1678644042.430638,4
1678644042.4307861,3
1678644042.4308789,4
1678644042.430939,4
1678644042.4310012,3
1678644042.431085,4
1678644042.431125,4
1678644042.431145,5
1678644042.43116,4
1678644042.4311738,4
1678644042.431187,4
1678644042.43136,4
1678644042.431386,3
1678644042.4495091,3
1678644042.449538,3
1678644042.449887,3
1678644042.44992,3
1678644042.449965,3
1678644042.45003,4
1678644042.450094,4
1678644042.4502022,3
1678644042.450537,4
1678644042.485834,4
1678644042.4858692,4
1678644042.485888,4
1678644042.4859278,4
1678644042.485943,3
1678644042.485984,4
1678644042.486041,5
1678644042.486152,4
1678644042.486248,4
1678644042.486326,4
1678644042.486484,4
1678644042.498122,3
1678644042.498163,3
1678644042.4983199,4
1678644042.498497,4
1678644042.498896,4
1678644042.498924,4
1678644042.498943,3
1678644042.499168,4
1678644042.499747,3
1678644042.5080588,4
1678644042.508188,3
1678644042.5086322,4
1678644042.5087218,4
1678644042.5088582,4
1678644042.5273302,4
1678644042.527582,4
1678644042.52767,4
1678644042.5276911,4
1678644042.5277581,4
1678644042.5427892,4
1678644042.542817,4
1678644042.5428338,4
1678644042.542878,4
1678644042.5428932,3
1678644042.542911,4
1678644042.542984,3
1678644042.543013,4
1678644042.550168,3
1678644042.550435,4
1678644042.5505018,4
1678644042.5505211,4
1678644042.550654,4
1678644042.572675,5
1678644042.5727081,5
1678644042.5727239,4
1678644042.5727391,3
1678644042.572754,3
1678644042.572775,3
1678644042.572842,4
1678644042.5728698,4
1678644042.579975,4
1678644042.580055,4
1678644042.580132,4
1678644042.592941,4
1678644042.59297,4
1678644042.5931032,3
1678644042.601763,4
1678644042.6017869,3
1678644042.601804,5
1678644042.601841,3
1678644042.6018612,4
1678644042.622796,4
1678644042.6228511,4
1678644042.622921,4
1678644042.637035,3
1678644042.637056,4
1678644042.637076,4
1678644042.637252,4
1678644042.63748,4
1678644042.6375659,4
1678644042.637585,4
1678644042.6376,4
1678644042.6376262,4
1678644042.653784,4
1678644042.653813,3
1678644042.6538298,4
1678644042.6538439,3
