time,accel_z
1678644791.852576,331
1678644791.852627,348
1678644791.85265,356
1678644791.852705,361
1678644791.862056,368
1678644791.862072,377
1678644791.862201,384
1678644791.862321,390
1678644791.8737202,394
1678644791.87374,397
1678644791.873835,399
1678644791.874104,397
1678644791.885461,394
1678644791.8854861,387
1678644791.885556,380
1678644791.885609,370
1678644791.88655,362
1678644791.896283,364
1678644791.8964322,359
1678644791.89652,352
1678644791.89659,344
1678644791.906476,335
1678644791.9066088,325
1678644791.906631,314
1678644791.906674,305
1678644791.906703,289
1678644791.916825,283
1678644791.9168482,276
1678644791.9168751,272
1678644791.9175081,270
1678644791.926864,268
1678644791.92694,263
1678644791.926961,266
1678644791.926982,263
1678644791.936139,259
1678644791.936165,252
1678644791.9551868,246
1678644791.955224,241
1678644792.039766,231
1678644792.039793,221
1678644792.039809,208
1678644792.039828,198
1678644792.0398889,190
1678644792.039948,181
1678644792.039968,174
1678644792.040263,163
1678644792.040287,155
1678644792.040311,145
1678644792.04036,136
1678644792.041779,129
1678644792.057162,121
1678644792.057184,109
1678644792.0572731,99
1678644792.057344,87
1678644792.057409,79
1678644792.0574222,72
1678644792.057441,68
1678644792.058413,63
1678644792.058521,62
1678644792.058542,58
1678644792.058561,56
1678644792.05919,56
1678644792.059293,53
1678644792.05983,50
1678644792.059923,44
1678644792.059937,40
1678644792.059955,31
1678644792.0604858,29
1678644792.0605052,22
1678644792.060528,19
1678644792.060701,17
1678644792.061205,17
1678644792.061223,16
1678644792.0612962,15
1678644792.061316,18
1678644792.061997,22
1678644792.062022,28
1678644792.062037,40
1678644792.0620632,47
1678644792.062622,54
1678644792.062722,60
1678644792.062749,69
1678644792.063314,76
1678644792.063384,68
1678644792.064001,57
1678644792.064032,60
1678644792.064331,61
1678644792.0643551,58
1678644792.0830479,60
1678644792.08335,84
1678644792.083371,97
1678644792.083491,105
1678644792.083508,114
1678644792.083522,124
1678644792.083536,138
1678644792.08355,142
1678644792.0835662,142
1678644792.083594,138
1678644792.0845819,134
1678644792.092798,130
1678644792.092864,128
1678644792.092884,125
1678644792.092902,121
1678644792.102345,110
1678644792.1023629,100
1678644792.10238,97
1678644792.102474,93
1678644792.11201,85
1678644792.112918,72
1678644792.1135879,64
1678644792.127904,57
1678644792.128107,44
