"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678693846616489E9,"2023-03-13 00:50:46.616 UTC-07:00"
"PAUSE",5.368234500027029E0,1.678693851984699E9,"2023-03-13 00:50:51.985 UTC-07:00"
