"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.770243334E-1,1.090615354E-3,-5.741499821E-3,-2.286085904E-2,2.359604073E-2
6.869943333E-1,-3.704733711E-2,2.786655072E-2,4.830384851E-3,4.660882377E-2
6.969643334E-1,7.368880436E-3,1.324087823E-2,-1.326733232E-2,2.014058991E-2
7.069333333E-1,5.403890725E-2,-2.062813857E-2,-3.614280939E-2,6.820576419E-2
7.169033333E-1,1.019670356E-2,-4.485899795E-2,5.144380331E-2,6.901280576E-2
7.268733334E-1,1.074023880E-2,-2.330614050E-2,4.452830136E-2,5.139356512E-2
7.368433333E-1,2.272809070E-2,9.274115714E-3,2.024598420E-2,3.181941554E-2
7.468133334E-1,2.374221716E-2,2.294143641E-2,-7.332116067E-2,8.041141077E-2
7.567833333E-1,1.567506954E-2,4.931855056E-2,-4.366408288E-2,6.770952199E-2
7.667533334E-1,-3.060940649E-2,2.341074627E-2,-8.329943419E-3,3.942571197E-2
7.767223333E-1,-9.074659422E-3,-3.400454201E-2,-3.363318443E-3,3.535491807E-2
7.866923333E-1,2.445718545E-2,-5.045081362E-2,-4.940897226E-4,5.606855304E-2
7.966623333E-1,3.313993525E-2,-2.746753764E-2,2.540205896E-2,4.997985126E-2
8.066323333E-1,1.471725907E-2,1.176889194E-3,3.464475274E-2,3.765954959E-2
8.166023334E-1,2.878679283E-2,6.045399718E-3,-2.569266558E-2,3.905559324E-2
8.265723333E-1,2.613902740E-2,8.699558254E-3,-3.779347837E-2,4.676834479E-2
8.365413334E-1,-1.317348450E-2,2.410427858E-3,-2.100553751E-2,2.491151265E-2
8.465113333E-1,-2.155627213E-2,3.838100934E-3,2.479921103E-2,3.308178887E-2
8.564813334E-1,8.290145807E-3,-1.288030831E-2,2.672996163E-2,3.080778649E-2
8.664513333E-1,2.447852779E-2,-7.637365849E-3,2.030153275E-3,2.572254269E-2
8.764213333E-1,5.569180548E-3,9.736463735E-3,1.266039133E-2,1.691449103E-2
8.863913333E-1,1.676078785E-2,1.925592039E-2,-7.396143079E-3,2.657851411E-2
8.963613333E-1,1.307470310E-2,1.591000655E-2,-2.355258465E-2,3.128578612E-2
9.063303334E-1,1.204190210E-2,1.253397042E-2,-4.224028587E-3,1.788715288E-2
9.163003333E-1,1.010362320E-3,-9.238280961E-3,1.808426857E-2,2.033242329E-2
9.262703334E-1,7.293268628E-3,-1.062757940E-2,2.181362271E-2,2.533715349E-2
9.362403333E-1,2.396978348E-2,-1.643925266E-2,-3.798351288E-3,2.931257445E-2
9.462103333E-1,-1.520710956E-2,-4.662383381E-2,-2.233577907E-2,5.388807927E-2
9.561803333E-1,-2.274493799E-3,-4.375704448E-2,1.091148913E-2,4.515432270E-2
9.661493333E-1,1.932281848E-2,-7.327611884E-4,6.418605566E-2,6.703549802E-2
9.761193334E-1,3.336446833E-2,3.096713732E-2,1.760830522E-2,4.880782471E-2
9.860893333E-1,1.004566267E-2,2.489161074E-2,-3.628080368E-2,4.513096874E-2
9.960593334E-1,2.264294062E-2,3.633578121E-2,-5.377625763E-2,6.873774539E-2
1.006029333E0,9.774790406E-3,3.057455161E-2,3.936930299E-3,3.233959112E-2
1.015999333E0,-3.910595901E-2,7.083586105E-2,1.581788778E-1,1.776725996E-1
1.025969333E0,-7.535752662E-2,1.719224476E-1,3.184153908E-1,3.696274421E-1
1.035938333E0,2.762626670E-3,2.441263698E-1,-1.078869760E-1,2.669174332E-1
1.045908333E0,7.662819967E-2,2.429533087E-1,-4.006827915E-1,4.748103733E-1
1.055878333E0,5.102024563E-3,2.869901333E-1,-1.791101557E-1,3.383338812E-1
1.065848333E0,-5.459413692E-2,3.131953256E-1,1.559107429E-1,3.540903720E-1
1.075818333E0,-1.907559089E-2,2.737152179E-1,1.445928723E-1,3.101467352E-1
1.085788333E0,7.585695192E-2,2.148862716E-1,-7.765043914E-2,2.407487852E-1
1.095757333E0,-4.407247435E-2,1.422847387E-1,2.260065794E-2,1.506589513E-1
1.105727333E0,-7.681702819E-2,1.336269127E-1,1.751176769E-1,2.332878230E-1
1.115697333E0,-2.607302696E-2,1.303693192E-1,1.540384644E-1,2.034792634E-1
1.125667333E0,1.238610210E-1,1.683653853E-1,-1.223559111E-1,2.421970778E-1
1.135637333E0,2.768926680E-1,2.195813665E-1,-2.869983011E-1,4.552510856E-1
1.145607333E0,2.939844813E-1,2.637145057E-1,-5.757928669E-2,3.991084941E-1
1.155576333E0,1.838077357E-1,2.616427641E-1,1.688178867E-1,3.615822155E-1
1.165546333E0,3.919012237E-2,2.367033661E-1,1.776664782E-1,2.985460210E-1
1.175516333E0,-1.826803194E-1,1.537191334E-1,9.957808256E-2,2.586841038E-1
1.185486333E0,-3.644866262E-1,1.250928101E-1,-1.796328968E-1,4.251666608E-1
1.195456333E0,-4.067907199E-1,1.260778284E-1,-2.538749939E-1,4.958092588E-1
1.205426333E0,-1.794847795E-1,1.663229529E-1,4.992235780E-2,2.497405705E-1
1.215396333E0,2.427353903E-1,4.202358441E-1,2.755903834E-1,5.580938037E-1
1.225365333E0,1.345420202E-1,4.988825757E-1,3.584413362E-1,6.288605338E-1
1.235335333E0,-5.205271773E-2,4.735748396E-1,-9.518331528E-2,4.858420295E-1
1.245305333E0,5.752925646E-2,4.534302315E-1,-7.150103939E-1,8.486156100E-1
1.255275333E0,6.097929642E-2,4.197503424E-1,-4.348404711E-1,6.074496357E-1
1.265245333E0,-4.289225042E-3,4.765187665E-1,4.570984823E-1,6.603238257E-1
1.275215333E0,2.253866284E-1,4.366109350E-1,2.010196728E-1,5.308833672E-1
1.285184333E0,1.520611919E-1,2.865588829E-1,-3.287889361E-3,3.244216541E-1
1.295154333E0,1.719085056E-2,1.236185991E-1,1.713526547E-2,1.259789693E-1
1.305124333E0,-1.338226665E-2,1.637099053E-1,2.476173037E-1,2.971436475E-1
1.315094333E0,-6.605135400E-2,3.363774526E-1,7.434225994E-1,8.186511671E-1
1.325064333E0,-1.047021804E-1,5.180776325E-1,2.124147266E-1,5.696376005E-1
1.335034333E0,-2.969287737E-1,7.428931341E-1,-2.723276371E-1,8.451149313E-1
1.345003333E0,-1.176393277E-1,6.768999233E-1,-1.097827018E0,1.295089448E0
1.354973333E0,3.032351419E-2,5.624063976E-1,-1.370958062E0,1.482142530E0
1.364943333E0,-3.241071437E-1,5.171221609E-1,9.474272758E-1,1.126977911E0
1.374913333E0,1.615885720E-1,4.707044414E-1,7.961247236E-1,9.388759840E-1
1.384883333E0,-6.086695679E-2,5.255260716E-1,6.888622302E-1,8.685698651E-1
1.394853333E0,-1.649536812E-1,6.022524679E-1,-2.768054348E-1,6.830366028E-1
1.404822333E0,-1.602484267E-2,2.646995788E-1,-1.478586007E0,1.502178166E0
1.414792333E0,1.576522264E-1,1.425952624E-1,-1.075146838E0,1.095960016E0
1.424762333E0,-1.386399682E-1,4.517348313E-1,1.169109839E0,1.260992948E0
1.434732333E0,1.406674902E-1,4.455425203E-1,1.544353150E0,1.613481370E0
1.444702333E0,1.633824247E-1,-1.469340060E-1,-7.138438743E-1,7.468979152E-1
1.454672333E0,1.153584020E-1,-2.624945938E-1,-6.472540283E-1,7.079186040E-1
1.464641333E0,-3.180981794E-1,1.888707757E-2,5.110139036E-1,6.022278498E-1
1.474611333E0,8.269950986E-2,4.733227881E-2,1.962933683E-1,2.181986251E-1
1.484581333E0,2.634349722E-1,-3.510678876E-1,-8.052732772E-1,9.171214190E-1
1.494551333E0,1.590350198E-1,-2.073772041E-1,1.267588645E-1,2.904569711E-1
1.504521333E0,1.225289522E-1,-5.301977868E-2,1.453881521E0,1.459998602E0
1.514491333E0,-1.418141657E-1,-3.428579765E-2,6.978546631E-1,7.129431284E-1
1.524460333E0,-2.270205231E-1,-3.412851212E-2,-7.359305620E-1,7.709065218E-1
1.534430333E0,-3.558475113E-1,-9.488875265E-3,-1.575434024E0,1.615150103E0
1.544400333E0,-2.403832747E-1,-6.136990413E-2,-2.803739905E-3,2.481093405E-1
1.554370333E0,4.114504026E-1,4.048930060E-1,1.243737268E0,1.371171824E0
1.564340333E0,1.210630187E0,7.759842816E-1,-2.758043915E-1,1.464187528E0
1.574310333E0,1.611601173E-1,7.616057316E-2,8.856017411E-2,1.990374858E-1
1.584280333E0,6.821818594E-2,6.228621307E-2,-4.637894511E-2,1.033648866E-1
1.594249333E0,-4.742874690E-1,2.000647128E-1,1.316120535E-1,5.313155609E-1
1.604219333E0,-4.585830172E-1,1.436482637E-1,2.907820344E-2,4.814340549E-1
1.614189333E0,-4.352532846E-1,3.242804588E-2,-1.027865083E0,1.116693166E0
1.624159333E0,-3.534819837E-1,-1.974917552E-1,-1.091341871E0,1.164035904E0
1.634129333E0,-3.538970629E-1,6.971123591E-3,9.431535459E-1,1.007387879E0
1.644099333E0,1.498361802E-1,-1.418808880E-1,9.094542879E-1,9.325707314E-1
1.654068333E0,2.696433996E-1,1.515725017E-1,1.012184604E0,1.058394756E0
1.664038333E0,3.783393014E-1,-4.253689959E-2,-9.822258103E-1,1.053431325E0
1.674008333E0,2.865208760E-1,1.573480616E-1,-6.393164331E-1,7.180376915E-1
1.683978333E0,-6.541269918E-1,4.922504809E-1,2.541726172E-2,8.190474312E-1
1.693948333E0,3.247294701E-1,1.824215984E-1,-2.127562040E-1,4.289429690E-1
1.703918333E0,9.002857076E-1,-5.326922181E-2,-1.360838871E0,1.632554562E0
1.713887333E0,5.765431378E-1,-4.194325845E-4,1.754181068E0,1.846497599E0
1.723857333E0,-4.016394325E-1,1.462266209E-1,2.690862916E0,2.724598996E0
1.733827333E0,2.004241704E-1,-1.904863157E-1,-1.705717006E0,1.727983040E0
1.743797333E0,-7.994882613E-1,8.733942166E-2,-3.098726088E-1,8.618762603E-1
1.753767333E0,-4.824690759E-1,2.097838998E-1,-1.576020500E0,1.661513259E0
1.763737333E0,-5.505924638E-1,1.713027158E-1,-1.569445306E-1,5.976020979E-1
1.773706333E0,-4.577882344E-1,-2.915135576E-1,-8.978773856E-1,1.049158721E0
1.783676333E0,-8.726326168E-2,-5.171559286E-1,1.435945771E0,1.528726722E0
1.793646333E0,1.761518300E-1,-2.196260794E-1,2.432589646E0,2.448827774E0
1.803616333E0,3.756779046E-1,-1.755455195E-2,-2.728942323E-1,4.646647311E-1
1.813586333E0,8.897902478E-1,1.521576801E-1,-2.084601962E0,2.271661063E0
1.823556333E0,1.272374884E0,2.045478827E-1,-9.266030020E-1,1.587252596E0
1.833525333E0,9.611479135E-1,1.081247201E-1,1.660600474E0,1.921741450E0
1.843495333E0,2.377254594E-1,-1.537676835E-1,1.502219283E0,1.528666304E0
1.853465333E0,2.355239461E-1,-1.347211643E-1,-2.007372522E-1,3.375155785E-1
1.863435333E0,-3.185038665E-1,-2.866813638E-1,-1.617047489E-1,4.580167499E-1
1.873405333E0,-6.239772861E-1,-1.862971786E-2,-6.775560540E-1,9.212909021E-1
1.883375333E0,-4.132740029E-1,2.725163377E-1,1.378983951E-1,5.138837643E-1
1.893344333E0,-4.639962233E-1,2.923980221E-1,-4.651395732E-1,7.191271940E-1
1.903314333E0,-3.320210577E-1,1.273642158E-1,-1.339798250E0,1.386188651E0
1.913284333E0,-4.611715430E-1,3.666943156E-1,3.802438492E-1,7.012341250E-1
1.923254333E0,-3.115268592E-1,5.448682955E-1,5.094959664E-1,8.084037254E-1
1.933224333E0,-1.430803803E-1,-3.537166671E-2,-2.913170546E-1,3.264793659E-1
1.943194333E0,9.534506388E-3,3.507314808E-2,-6.666995287E-2,7.593362328E-2
1.953163333E0,-1.100968581E-1,3.757808887E-1,7.733702838E-1,8.668530385E-1
1.963133333E0,-2.496030182E-4,1.039898616E-1,-8.328364670E-2,1.332295741E-1
1.973103333E0,1.417818964E-1,-4.561274059E-1,-1.946910558E0,2.004648358E0
1.983073333E0,-2.564230278E-1,-4.763938554E-1,-4.468886590E-1,7.017217028E-1
1.993043333E0,4.057290117E-1,-2.971502552E-1,1.712430194E0,1.784749695E0
2.003013333E0,1.308311944E-1,-3.711147375E-1,2.220992945E0,2.255582544E0
2.012982333E0,-2.503101658E-1,-4.518303968E-1,2.870047331E-1,5.909125175E-1
2.022952333E0,2.152298320E-1,-3.979457829E-1,-1.909194848E0,1.962067709E0
2.032922333E0,1.095419208E-1,-1.961656615E-1,-1.221225488E0,1.241721422E0
2.042892333E0,1.606065321E-1,9.463357651E-3,3.810367316E-1,4.136097244E-1
2.052862333E0,3.924484500E-1,-8.180331443E-2,9.591521126E-1,1.039557763E0
2.062832333E0,1.742340895E-1,-2.005527360E-1,-5.438319862E-2,2.711760501E-1
2.072801333E0,-7.367513649E-2,-3.363605688E-1,-4.231530565E-1,5.455501509E-1
2.082771333E0,4.143936351E-1,-3.340162099E-2,8.684226215E-1,9.628061085E-1
2.092741333E0,5.922201077E-1,2.655846463E-1,6.209555912E-1,8.982459054E-1
2.102711333E0,-3.085955769E-2,-7.864869590E-2,-3.787966633E-1,3.881041636E-1
2.112681333E0,-1.588712247E-1,3.579815029E-2,-9.944739729E-1,1.007720227E0
2.122651333E0,-5.303461873E-1,1.649174650E-1,9.602414489E-2,5.636359508E-1
2.132620333E0,-5.412291712E-1,2.425060333E-1,4.437574750E-1,7.407151197E-1
2.142590333E0,-5.455380941E-1,-5.865642604E-2,-9.706693733E-1,1.115011848E0
2.152560333E0,-2.881207838E-1,-2.371021827E-1,-7.800676847E-1,8.647176555E-1
2.162530333E0,-5.153063446E-2,-1.646915797E-1,2.113236362E-1,2.728303537E-1
2.172500333E0,3.168431842E-1,2.056944120E-1,1.919711650E0,1.956525649E0
2.182470333E0,5.752073414E-1,-2.639408706E-2,1.730840153E-1,6.012638437E-1
2.192439333E0,3.421399202E-1,-9.151024058E-2,-1.105607323E0,1.160948492E0
2.202409333E0,-5.855489463E-1,2.602992749E-1,-5.554813939E-1,8.480464964E-1
2.212379333E0,2.148430387E-1,1.729083612E-1,-2.348990250E-1,3.622601063E-1
2.222349333E0,8.271820633E-1,-4.985603301E-2,3.100895405E-2,8.292631338E-1
2.232319333E0,6.566633677E-1,-2.419705014E-1,1.591881073E-1,7.177028324E-1
2.242289333E0,-5.790311281E-1,7.439493787E-2,2.273975151E0,2.347716899E0
2.252258333E0,3.008506108E-1,-2.575724259E-1,-1.048683509E0,1.120978032E0
2.262228333E0,-7.760855846E-1,6.947934813E-2,6.612785751E-1,1.021971413E0
2.272198333E0,-5.199906222E-1,8.534426945E-2,-1.053472379E0,1.177912537E0
2.282168333E0,-3.829168672E-1,6.367198034E-2,-1.510624071E0,1.559700142E0
