"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.671337500E-2,3.501334660E-2,1.611822819E-1,-2.869462609E-2,1.674187684E-1
3.668437502E-2,1.145700146E-1,2.351265182E-1,-3.739937603E-2,2.642148390E-1
4.665537502E-2,1.865102822E-1,2.272703089E-1,-2.895564580E-1,4.126509676E-1
5.662537500E-2,8.621785261E-2,2.509276318E-1,3.744381487E-2,2.679556564E-1
6.659637502E-2,-2.257120259E-2,1.263134803E-1,7.399885297E-2,1.481228704E-1
7.656737501E-2,-3.558725081E-3,-8.058614340E-3,-9.821158826E-2,9.860589160E-2
8.653837501E-2,-6.037838537E-2,-8.150240209E-2,-9.896412492E-3,1.019123641E-1
9.650937503E-2,-6.672579378E-2,-1.638728782E-1,1.643944681E-2,1.776989228E-1
1.064793750E-1,-7.217302334E-2,-1.933748768E-1,1.071566588E-1,2.325625460E-1
1.164503750E-1,-6.163429420E-2,-1.902088288E-1,2.472144306E-2,2.014679491E-1
1.264213750E-1,-4.724827990E-2,-1.210712048E-1,6.578585386E-2,1.456654219E-1
1.363923750E-1,-2.720636353E-2,-5.241794487E-2,-3.369165659E-2,6.799231489E-2
1.463623750E-1,1.705760714E-2,6.522413744E-3,-1.400700510E-2,2.301521310E-2
1.563333750E-1,4.000387207E-2,1.177372686E-1,-4.552057385E-3,1.244310870E-1
1.663043750E-1,8.707077865E-2,1.789413173E-1,-1.003382206E-3,1.990033224E-1
1.762753750E-1,1.036752266E-1,1.371176547E-1,-8.202824950E-2,1.904689937E-1
1.862453750E-1,3.468842413E-2,9.120581992E-2,-9.149547637E-2,1.337655058E-1
1.962163750E-1,7.616363838E-4,1.583262003E-2,3.076804876E-3,1.614678529E-2
2.061873750E-1,-3.119953673E-2,-3.583981855E-2,3.207782507E-2,5.733140978E-2
2.161583750E-1,-5.983799301E-2,-8.202859668E-2,5.089767337E-2,1.135775032E-1
2.261283750E-1,-5.109088730E-2,-1.260478796E-1,-3.137031198E-3,1.360448003E-1
2.360993750E-1,-3.249520663E-2,-1.408696577E-1,-2.030211747E-2,1.459875847E-1
2.460703750E-1,-5.255411647E-2,-7.887907620E-2,3.049264491E-2,9.956728988E-2
2.560413750E-1,-3.741680805E-2,-3.163787234E-2,5.670688212E-2,7.494426576E-2
2.660123750E-1,1.181104671E-2,7.288088361E-3,-1.152018428E-2,1.803695379E-2
2.759823750E-1,5.184970971E-2,5.968411531E-2,-7.509754479E-2,1.090423186E-1
2.859533750E-1,3.563274946E-2,9.719315861E-2,-3.108964562E-2,1.080868585E-1
2.959243750E-1,3.412526418E-2,1.017457550E-1,-1.189908385E-3,1.073226360E-1
3.058953750E-1,2.223454915E-2,7.295158467E-2,-1.112023473E-2,7.707119113E-2
3.158653750E-1,5.068585798E-3,4.994006390E-3,-4.692156672E-2,4.745802446E-2
3.258363750E-1,1.295509100E-2,-3.434003058E-2,-1.909057438E-2,4.137054645E-2
