"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678693730662147E9,"2023-03-13 00:48:50.662 UTC-07:00"
"PAUSE",5.815709125017747E0,1.678693736482365E9,"2023-03-13 00:48:56.482 UTC-07:00"
