"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.847647083E-1,2.111875422E-1,-4.284254909E-3,-1.706159055E-2,2.119189248E-1
6.947327083E-1,4.758639514E-2,-1.616079044E-2,-4.024229228E-2,6.438228202E-2
7.047017083E-1,-5.632308550E-2,-1.375898448E-1,-6.782770157E-3,1.488262790E-1
7.146707083E-1,-9.695151329E-2,-4.202390235E-2,2.584083402E-1,2.791782130E-1
7.246387083E-1,1.202998108E-1,1.046986720E-1,-2.841910529E-1,3.258809767E-1
7.346077083E-1,1.154222097E-2,9.434255876E-2,6.544496119E-2,1.153983718E-1
7.445767083E-1,4.514214937E-2,5.725684930E-2,-4.969782472E-2,8.823850759E-2
7.545450833E-1,5.558275491E-2,1.034155006E-1,6.859661043E-2,1.359768486E-1
7.645140833E-1,8.086048745E-2,1.183414687E-1,-1.071303463E-1,1.789414226E-1
7.744830833E-1,2.149458401E-2,9.075960428E-2,7.770189464E-2,1.213956644E-1
7.844510833E-1,-1.643396504E-3,3.389265463E-2,-9.480266154E-2,1.006923901E-1
7.944200833E-1,-5.650456846E-3,2.012750499E-2,-5.919662654E-2,6.277965207E-2
8.043890833E-1,-1.144033324E-2,5.074542649E-3,6.680268466E-2,6.796492394E-2
8.143570833E-1,2.062696684E-2,-7.037778195E-2,1.299426734E-2,7.448056751E-2
8.243260833E-1,1.380723863E-1,-1.257279273E-2,-8.043663740E-2,1.602875903E-1
8.342950833E-1,9.807644449E-2,-3.001302704E-3,1.097604239E-1,1.472254986E-1
8.442630833E-1,2.490811542E-2,-2.658027291E-2,1.302145690E-1,1.352137533E-1
8.542320833E-1,2.389303878E-2,9.206806496E-3,-9.593760610E-2,9.929585516E-2
8.642010833E-1,2.174762227E-2,6.697967257E-2,-1.356179810E-1,1.528118856E-1
8.741700833E-1,-3.088437181E-2,3.700706441E-2,8.171016097E-2,9.486789575E-2
8.841380833E-1,2.218210693E-2,1.784098785E-2,3.124050379E-2,4.226482926E-2
8.941070833E-1,1.136361777E-1,1.847764000E-2,-8.822395921E-2,1.450450656E-1
9.040760833E-1,8.913612485E-2,2.788701598E-2,3.350863874E-2,9.922581964E-2
9.140440833E-1,3.262885205E-2,4.292828389E-2,9.372794330E-2,1.081314334E-1
9.240130833E-1,1.198602464E-2,3.083686318E-2,-9.412672341E-2,9.977182457E-2
9.339820833E-1,-1.094715714E-2,2.996745531E-2,-9.759353757E-2,1.026761277E-1
9.439500833E-1,-4.381062873E-3,1.252360303E-2,6.628403664E-2,6.759887468E-2
9.539190833E-1,3.654458620E-2,-1.175882377E-2,-1.415610909E-3,3.841589086E-2
9.638880833E-1,7.842833810E-2,-1.607399583E-2,-5.590990663E-2,9.764883623E-2
9.738560833E-1,6.720128205E-2,3.514103517E-3,8.259075165E-2,1.065344709E-1
9.838250833E-1,5.524317786E-2,2.755536921E-2,7.395558357E-2,9.633553557E-2
9.937940833E-1,3.666832790E-2,2.739073355E-2,-9.877467513E-2,1.088634695E-1
1.003762083E0,1.220810920E-2,4.613964781E-2,-6.988826036E-2,8.463021900E-2
1.013731083E0,2.137742043E-3,4.208909880E-2,3.832499027E-2,5.696373459E-2
1.023700083E0,5.138745077E-2,4.056261007E-2,-1.873857200E-2,6.809647210E-2
1.033668083E0,7.082882155E-2,5.721562643E-2,-4.703792632E-2,1.024837372E-1
1.043637083E0,7.160825539E-2,6.359062638E-2,1.072034365E-1,1.437500845E-1
1.053606083E0,1.160573270E-1,1.172381356E-1,2.300306332E-1,2.830692067E-1
1.063575083E0,2.367950212E-1,3.038920035E-1,2.435891569E-1,4.558046832E-1
1.073543083E0,2.855696436E-1,4.919466085E-1,2.109587699E-1,6.066836816E-1
1.083512083E0,2.141058510E-1,5.796430026E-1,1.026110333E-1,6.263835487E-1
1.093481083E0,1.087415466E-1,6.663106889E-1,-1.218238145E-1,6.860289351E-1
1.103449083E0,-6.498646639E-2,5.966287987E-1,-4.137811393E-1,7.289746192E-1
1.113418083E0,-1.442223415E-1,6.393756361E-1,-2.054612178E-1,6.868883460E-1
1.123387083E0,-1.736221784E-1,5.833961476E-1,-2.543883795E-1,6.597038529E-1
1.133355083E0,-3.111325741E-1,3.885969987E-1,-5.221253675E-1,7.214055763E-1
1.143324083E0,-3.148437288E-1,2.684545511E-1,-2.198079461E-1,4.685188926E-1
1.153293083E0,-1.650140902E-1,2.258414686E-1,6.237107992E-2,2.865731504E-1
1.163261083E0,-2.403158125E-2,1.172716475E-1,5.198759437E-3,1.198214643E-1
1.173230083E0,9.036082417E-2,3.456921402E-2,-1.392333144E-1,1.695465274E-1
1.183199083E0,1.327922774E-1,2.026754580E-3,2.096425617E-1,2.481690963E-1
1.193167083E0,4.602672346E-2,-9.517797969E-2,4.508647656E-1,4.630943144E-1
1.203136083E0,-6.005719051E-2,-2.822502889E-1,1.087862778E-1,3.083934921E-1
1.213105083E0,-2.508345880E-2,-2.956832071E-1,-1.912641782E-1,3.530435167E-1
1.223073083E0,-2.449818905E-2,-2.448432384E-1,1.798732173E-1,3.047995194E-1
1.233042083E0,-1.786243252E-1,-2.684601059E-1,1.891925097E-1,3.738599788E-1
1.243011083E0,-1.889388136E-1,-3.527453807E-1,-3.225616515E-1,5.139778184E-1
1.252979083E0,-6.687657885E-2,-2.851175808E-1,-2.046969867E-1,3.573029079E-1
1.262948083E0,1.519681481E-1,-1.970372438E-1,2.186162835E-1,3.312266187E-1
1.272917083E0,2.742970159E-1,-1.687347466E-1,2.275233471E-1,3.943058979E-1
1.282886083E0,3.101765178E-1,-1.990837693E-1,2.426419079E-2,3.693677982E-1
1.292854083E0,2.576889134E-1,-2.590978000E-1,-1.971330285E-1,4.152067883E-1
1.302823083E0,2.095472886E-1,-3.073164985E-1,1.252882898E-2,3.721699450E-1
1.312792083E0,2.158398794E-1,-2.717114867E-1,4.077392113E-1,5.354112905E-1
1.322760083E0,2.443138096E-1,-1.456266600E-1,3.962131798E-1,4.877307101E-1
1.332729083E0,2.587774457E-1,3.246604364E-2,-2.896886051E-2,2.624099946E-1
1.342698083E0,2.876763589E-1,2.232378132E-1,-3.713894105E-1,5.201181625E-1
1.352666083E0,2.820555767E-1,3.433067686E-1,-3.698030609E-1,5.780736887E-1
1.362635083E0,-6.270407885E-3,7.457571734E-2,-2.178614080E-1,2.303572198E-1
1.372604083E0,-2.264645626E-1,-2.705562231E-1,-5.584851086E-2,3.572197141E-1
1.382572083E0,-2.641048804E-1,-3.553445411E-1,3.280323064E-1,5.510229803E-1
1.392541083E0,-2.146255954E-1,-2.939868568E-1,4.530779368E-1,5.811815852E-1
1.402510083E0,-1.320469402E-1,-1.646363966E-1,-1.234815001E-2,2.114095890E-1
1.412478083E0,-4.759783376E-2,-2.041343383E-2,-3.896151817E-1,3.930423029E-1
1.422447083E0,-1.300238036E-2,2.598107949E-2,-2.767077863E-1,2.782288220E-1
1.432416083E0,1.223138843E-2,-3.610586230E-2,-3.036868393E-2,4.873907179E-2
1.442384083E0,7.210808270E-2,-1.056992768E-1,1.748411036E-1,2.166594660E-1
1.452353083E0,1.212567077E-1,-9.408955704E-2,1.490689158E-1,2.139569479E-1
