"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.855402500E-1,-4.660980050E-3,-5.528805524E-2,-1.590442657E-3,5.550696619E-2
5.955092500E-1,-5.586499270E-2,-1.976475835E-2,-1.618860126E-2,6.142974762E-2
6.054782500E-1,-3.857113978E-2,2.049215198E-2,-3.816068351E-2,5.799912829E-2
6.154472500E-1,-3.161406778E-3,5.688668400E-2,-4.788986564E-2,7.442800911E-2
6.254152500E-1,3.600485165E-2,9.067101896E-2,-4.520599365E-2,1.075228575E-1
6.353842500E-1,3.041432876E-2,9.885850959E-2,-1.738552630E-2,1.048822808E-1
6.453532500E-1,1.200051477E-2,7.875366256E-2,-1.010925114E-2,8.030161069E-2
6.553222500E-1,-3.607415942E-2,3.945997138E-2,-4.250107169E-2,6.829916115E-2
6.652912500E-1,-5.912318917E-2,1.031975091E-2,5.935508609E-3,6.030985839E-2
6.752602500E-1,-3.950092016E-2,-2.158039190E-2,-3.500377178E-2,5.702017228E-2
6.852292500E-1,-1.448596515E-2,-4.956487365E-2,2.623060942E-3,5.170493531E-2
6.951972500E-1,1.869148364E-2,-6.142971475E-2,-5.792836547E-3,6.447122125E-2
7.051662500E-1,9.300467927E-2,-4.870544259E-2,5.497376740E-2,1.185082512E-1
7.151352500E-1,1.285008962E-1,-5.654407371E-2,1.036851668E-1,1.745288699E-1
7.251042500E-1,8.992584614E-2,-2.854110014E-2,-1.801994920E-2,9.605191706E-2
7.350732500E-1,8.018694302E-2,4.792074624E-2,4.331851244E-2,1.029700795E-1
7.450422500E-1,-2.875233080E-2,-7.413903996E-3,3.247017324E-2,4.399971192E-2
7.550112500E-1,-1.438303588E-1,-2.942260444E-2,-1.322382903E-1,1.975849873E-1
7.649792500E-1,-8.949565552E-2,6.868764427E-2,8.634466410E-2,1.420664135E-1
7.749482500E-1,-5.032663794E-2,9.610728499E-2,-1.411061776E-1,1.779897021E-1
7.849172500E-1,-2.022725483E-2,9.771541547E-2,-1.647628427E-1,1.926246053E-1
7.948862500E-1,5.503828777E-2,9.270248786E-2,6.426967084E-2,1.255131665E-1
8.048552500E-1,1.768738881E-2,1.689436018E-2,-2.238898873E-3,2.456167334E-2
8.148241250E-1,2.966864431E-2,-2.180159938E-2,8.483491302E-2,9.247973106E-2
8.247921250E-1,1.337389782E-2,-6.334825929E-2,-1.265922189E-3,6.475697381E-2
8.347611250E-1,-1.682715375E-2,-8.142744809E-2,1.441689491E-2,8.438856122E-2
