"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.738751250E-1,2.940886348E-2,-6.345585720E-2,-8.668848038E-2,1.113841088E-1
6.838451250E-1,3.839866519E-3,2.664041472E-2,1.665339643E-1,1.686950430E-1
6.938151250E-1,9.322718410E-2,1.032472287E-1,-5.513690472E-2,1.496374831E-1
7.037851250E-1,-3.931210991E-3,-3.054290812E-2,-2.824801576E-1,2.841537667E-1
7.137551250E-1,1.290729001E-2,1.068732424E-1,2.539743966E-1,2.758468455E-1
7.237241250E-1,-1.031358940E-1,-9.456287088E-2,-8.563071907E-2,1.640480699E-1
7.336941250E-1,7.508537527E-3,-3.835841990E-2,5.512754917E-3,3.947324385E-2
7.436641250E-1,3.243993217E-2,3.930957916E-2,1.641518086E-1,1.718819609E-1
7.536341250E-1,8.491633549E-2,4.653671944E-2,-1.487356246E-2,9.796771483E-2
7.636031250E-1,4.500991093E-2,4.254724642E-2,-8.984539211E-2,1.091254083E-1
7.735731250E-1,6.053585820E-2,1.379962263E-1,2.326981330E-1,2.772290924E-1
7.835431250E-1,2.276131019E-2,2.548618029E-1,2.063692904E-1,3.287261776E-1
7.935131250E-1,-1.324451721E-1,5.787892726E-1,8.157538265E-1,1.008956417E0
8.034821250E-1,-2.384274724E-1,6.165391892E-1,1.436327595E-1,6.764603470E-1
8.134521250E-1,-9.184565149E-2,6.350564441E-1,-1.402021396E0,1.541880769E0
8.234221250E-1,-1.990726961E-1,9.278152028E-1,-1.384877944E-1,9.589837632E-1
8.333921250E-1,1.061253561E-1,9.093032835E-1,-1.867436957E-1,9.343277051E-1
8.433621250E-1,1.027398548E-1,6.911158933E-1,-5.790485966E-1,9.074656649E-1
8.533311250E-1,4.426431784E-2,4.994630215E-1,4.152014279E-1,6.510106492E-1
8.633011250E-1,6.887996284E-2,3.807400585E-1,3.672045583E-1,5.334291228E-1
8.732711250E-1,6.865541149E-2,3.275729346E-1,2.543421865E-1,4.203659605E-1
8.832411250E-1,1.296669590E-1,4.022327422E-1,3.368434757E-1,5.404333689E-1
8.932101250E-1,-3.775514256E-2,3.234371624E-1,-7.204997599E-1,7.906686745E-1
9.031801250E-1,-3.894857755E-2,3.164153142E-1,-7.544042552E-1,8.190002582E-1
9.131501250E-1,-3.623028008E-2,1.271686173E-1,1.412722385E-1,1.935002217E-1
9.231201250E-1,1.045903889E-1,-1.625203624E-1,2.449041957E-1,3.119776958E-1
9.330891250E-1,1.625864359E-1,-2.437264751E-1,1.055358106E-1,3.114076928E-1
9.430591250E-1,1.093911174E-1,-2.014059727E-1,4.541023690E-1,5.086646674E-1
9.530291250E-1,6.098163530E-2,-1.083087521E-1,3.852075505E-1,4.047646262E-1
9.629991250E-1,-1.550681591E-2,4.529827459E-2,3.627893257E-1,3.659350897E-1
9.729691250E-1,8.715064796E-2,3.730904797E-2,4.286026615E-1,4.389617773E-1
9.829381250E-1,-1.278149265E-1,4.924087852E-2,5.284637493E-1,5.459260516E-1
9.929081250E-1,2.999420632E-3,1.234952502E-1,-5.795485336E-1,5.925677819E-1
1.002878125E0,-1.400598366E-1,1.554131814E-1,-1.870247129E0,1.881912415E0
1.012848125E0,-9.288336782E-2,2.042028056E-1,3.108081633E-1,3.833116489E-1
1.022817125E0,1.401719752E-1,9.555871566E-2,6.426282960E-1,6.646433462E-1
1.032787125E0,3.134267292E-1,-1.227317592E-1,9.416122198E-2,3.495221524E-1
1.042757125E0,1.993935986E-1,-1.313130415E-1,-4.286231267E-1,4.906309273E-1
1.052727125E0,-9.022124017E-2,-7.960686268E-2,8.865057206E-1,8.946337337E-1
1.062696125E0,2.927228166E-1,2.376556948E-1,7.779977703E-1,8.645504076E-1
1.072666125E0,1.720742742E-1,4.346763106E-1,-1.611820078E-1,4.945024676E-1
1.082636125E0,-1.595395432E-2,5.092244364E-1,8.422978467E-1,9.843930708E-1
1.092606125E0,-1.332573869E-1,3.072415810E-1,-2.272185903E0,2.296733266E0
1.102576125E0,-2.994856880E-1,3.693300211E-1,-1.135046300E0,1.230620349E0
1.112545125E0,-3.564350834E-1,6.139143741E-1,1.143879104E0,1.346252662E0
1.122515125E0,-4.974080175E-3,2.433107380E-1,4.806721169E-1,5.387676129E-1
1.132485125E0,1.339471848E-1,5.196497295E-2,-1.096577468E0,1.105949524E0
1.142455125E0,1.424449341E-1,8.483154173E-2,2.149775612E-1,2.714816781E-1
1.152424125E0,2.364067478E-1,6.572521641E-3,4.577767593E-1,5.152581001E-1
1.162394125E0,6.791820550E-2,4.194319250E-2,2.300183541E-1,2.434759890E-1
1.172364125E0,-2.342229224E-1,1.416412800E-1,4.428558344E-1,5.206187853E-1
1.182334042E0,4.273074850E-2,2.143163325E-1,3.872470593E-1,4.446545763E-1
1.192303042E0,2.593702437E-2,2.486680118E-1,3.713508189E-2,2.527598142E-1
1.202273042E0,-2.933653160E-2,2.317900969E-1,-1.031989124E0,1.058106248E0
1.212243042E0,-8.558306426E-2,4.811593361E-1,-4.032707691E-2,4.903723491E-1
1.222213042E0,5.426709484E-2,5.613851814E-1,-4.153020000E-1,7.004098734E-1
1.232182042E0,-1.745531647E-1,3.000373362E-1,-8.962202847E-2,3.585014902E-1
1.242152042E0,5.140797998E-2,7.872168560E-2,2.396434557E-1,2.574274074E-1
1.252122042E0,2.438023427E-1,1.606692435E-2,-9.435418010E-2,2.619168564E-1
1.262092042E0,-2.617853631E-1,1.836464256E-1,9.966579080E-1,1.046701759E0
1.272062042E0,2.246127676E-1,-9.369619475E-3,-3.500821567E-1,4.160483164E-1
1.282031042E0,-1.595064699E-1,3.797476946E-2,-1.331048477E-1,2.111901928E-1
1.292001042E0,-2.616839139E-1,2.880381371E-2,5.191064501E-1,5.820477961E-1
1.301971042E0,3.061791785E-1,2.776203540E-1,-5.862441802E-1,7.172872431E-1
1.311941042E0,-5.013562403E-1,3.097751430E-1,6.499180198E-3,5.893733606E-1
1.321910042E0,-5.315042283E-1,-6.248160143E-2,-3.356453812E-1,6.317107860E-1
1.331880042E0,9.363968689E-2,-1.629442307E-1,-6.090307796E-1,6.373677932E-1
1.341850042E0,-1.346621257E-1,1.016840761E-1,3.194690591E-1,3.612949199E-1
1.351820042E0,2.106336282E-1,-9.341475181E-4,6.220946288E-1,6.567869709E-1
1.361789042E0,9.074997464E-2,1.332702965E-1,4.409934962E-1,4.695442402E-1
1.371759042E0,4.934302298E-1,5.083952555E-2,4.072819591E-1,6.418229064E-1
1.381729042E0,4.950649286E-1,1.676339717E-1,-1.898889130E-1,5.561009182E-1
1.391699042E0,6.179273548E-2,1.119989573E-1,1.838352907E-1,2.239587522E-1
1.401668042E0,-2.067185701E-1,2.404523541E-2,-1.017597957E0,1.038660841E0
1.411638042E0,-2.155820172E-1,-7.287398115E-2,-2.488159829E-1,3.371878061E-1
1.421608042E0,-6.489307540E-2,1.615491581E-1,3.574502331E-1,3.975926444E-1
1.431578042E0,3.580542505E-1,1.659887480E-1,1.221633623E0,1.283800538E0
1.441547042E0,3.927426381E-1,-1.431212469E-2,-1.559850025E0,1.608596816E0
1.451517042E0,-1.623017861E-1,1.727359963E-1,5.935608011E-1,6.391353682E-1
1.461487042E0,-3.187761275E-1,-8.087279401E-2,1.209894168E-1,3.504241248E-1
1.471457042E0,-2.612462681E-1,-2.107087101E-2,-5.718968672E-1,6.290942861E-1
1.481427042E0,6.939026032E-2,7.629419118E-2,-1.260677236E-1,1.628768945E-1
1.491396042E0,-4.741141722E-3,2.475488867E-2,-1.317272437E-1,1.341169253E-1
1.501366042E0,1.150694947E-1,-2.274071337E-1,-3.030880845E-1,3.960017425E-1
1.511336042E0,8.677487299E-3,-4.578365470E-1,6.625380653E-1,8.053858023E-1
1.521306042E0,2.303688764E-1,-4.011682200E-1,-1.265992355E-1,4.796176877E-1
1.531275042E0,-5.428608002E-2,1.055387707E-1,5.036364716E-1,5.174312574E-1
1.541245042E0,-3.137873197E-1,1.941226078E-1,2.839068782E-1,4.655632979E-1
1.551215042E0,-4.312173171E-1,-3.668561007E-1,-1.320654466E0,1.436892478E0
1.561185042E0,2.297283870E-1,-4.696996705E-1,-3.788691688E-1,6.457048546E-1
1.571154042E0,-1.310154731E-1,-3.287292945E-1,-4.406894410E-1,5.651859753E-1
1.581124042E0,-3.316156995E-3,-2.436472270E-1,4.443661702E-1,5.067901551E-1
1.591094042E0,1.506477554E-1,-4.510605195E-2,1.638355327E0,1.645885014E0
1.601064042E0,4.663920834E-1,-4.358551092E-1,-1.094222794E0,1.266812841E0
1.611033042E0,1.199823801E-1,-2.376781152E-1,9.882882035E-1,1.023523439E0
1.621003042E0,-1.415275791E-1,1.248836076E-1,2.647648484E0,2.654367809E0
1.630973042E0,-9.583096750E-2,-2.564816461E-1,-2.125419620E0,2.142982728E0
1.640943042E0,-4.953168339E-1,-1.550835811E-1,9.346750832E-1,1.069115145E0
1.650913042E0,4.223712472E-2,3.230084518E-1,-6.207585400E-1,7.010417960E-1
1.660882042E0,-3.561067257E-1,5.917162970E-2,-2.607581023E0,2.632449823E0
1.670852042E0,-4.717148403E-1,3.040508651E-1,-1.502787048E-1,5.809866678E-1
1.680822042E0,-9.560413208E-2,3.671685750E-2,1.681633494E0,1.684749087E0
1.690792042E0,2.794409759E-1,-2.909152778E-1,-3.793498099E-2,4.051641898E-1
1.700761042E0,1.567686025E-1,-2.259783300E-1,-3.023484117E-1,4.087262683E-1
1.710731042E0,3.734911191E-1,1.065480458E-1,5.979292560E-1,7.129989462E-1
1.720701042E0,2.710250967E-1,3.000046284E-1,6.316396236E-1,7.499506612E-1
1.730671042E0,1.595716846E-1,2.864423040E-1,2.136970210E-1,3.913805474E-1
1.740640042E0,1.131078452E-1,-1.371568585E-1,7.975719094E-2,1.948501937E-1
1.750610042E0,2.798249004E-1,-2.755322219E-1,-1.892291717E0,1.932611684E0
1.760580042E0,3.508963449E-2,-2.836845881E-2,3.271055228E-1,3.302030813E-1
1.770550042E0,1.667678712E-1,9.253482808E-2,8.105895656E-1,8.327242408E-1
1.780519042E0,1.553319964E-1,2.095166273E-1,4.718697184E-1,5.391532967E-1
1.790489042E0,-1.070562328E-1,2.307366114E-1,3.222575963E-2,2.563960226E-1
1.800459042E0,-1.733954343E-1,2.502810394E-1,4.810352290E-1,5.692991014E-1
1.810429042E0,-9.033359807E-2,1.395249625E-1,-9.584042537E-1,9.727106906E-1
1.820398042E0,-1.561991385E-1,2.127654316E-1,-1.123319709E0,1.153912678E0
1.830368042E0,-8.341472483E-2,3.844544657E-1,6.600179154E-1,7.683663847E-1
1.840338042E0,-1.297821217E-1,2.003514456E-1,2.600783050E-2,2.401260255E-1
1.850308042E0,-2.716106040E-1,5.694118645E-2,-4.820918208E-1,5.562617573E-1
1.860277042E0,1.665705459E-2,1.951322027E-1,4.006763595E-1,4.459771060E-1
1.870247042E0,-5.979002757E-2,2.899247960E-1,1.558867693E-1,3.345622806E-1
1.880217042E0,4.192336679E-2,8.474221637E-2,-5.770582044E-1,5.847520699E-1
1.890187042E0,1.387993779E-1,1.761849033E-1,-1.321944362E-1,2.603492970E-1
1.900157042E0,8.632235331E-2,1.190148395E-1,9.013582331E-1,9.132703571E-1
1.910126042E0,9.808360733E-2,6.737235879E-2,2.326267970E-1,2.612941932E-1
1.920096042E0,4.175313972E-2,-7.795832246E-3,-1.210525668E0,1.211270610E0
1.930066042E0,1.946171361E-1,-6.317356459E-2,-1.317617422E-1,2.433677991E-1
1.940036042E0,-3.708908988E-2,1.136168362E-2,8.004504937E-1,8.013898435E-1
1.950005042E0,-8.865703689E-2,4.461210840E-2,3.417340869E-1,3.558546003E-1
1.959975042E0,-1.625954077E-1,3.222438462E-2,2.932144761E-2,1.683312950E-1
1.969945042E0,-4.336505628E-1,-2.076742610E-1,2.259212101E-1,5.312455199E-1
1.979915042E0,-3.951614119E-2,-2.574495613E-1,-1.015241529E0,1.048120777E0
1.989884042E0,4.390855132E-2,-7.418595473E-2,-6.948731679E-1,7.002001401E-1
1.999854042E0,5.899155373E-2,7.432665336E-2,5.974562162E-1,6.049449439E-1
2.009824042E0,3.736420503E-1,8.946320347E-2,1.468580836E0,1.518005836E0
2.019794042E0,1.471216469E-1,-5.401331198E-3,7.230199099E-2,1.640168627E-1
2.029763042E0,-3.179764111E-1,-1.786497606E-1,-6.804276216E-1,7.720145615E-1
2.039733042E0,-8.940474959E-2,-2.375629068E-1,-1.243999223E0,1.269631211E0
2.049703042E0,-3.385221748E-2,-5.852917601E-2,8.940047747E-1,8.965579592E-1
2.059673042E0,9.866588037E-2,1.187368775E-1,4.195850855E-1,4.470850546E-1
2.069642042E0,1.229095694E-2,6.473720599E-2,-1.430872142E-2,6.742931833E-2
2.079612042E0,2.922701325E-1,8.624447571E-2,4.206171191E-1,5.194022534E-1
2.089582042E0,1.599402785E-1,-1.076800028E-1,-9.447890121E-1,9.642624918E-1
2.099552042E0,-2.487689311E-1,9.380547373E-2,1.331896323E-1,2.973632898E-1
2.109521042E0,-2.976380409E-1,3.021430282E-1,1.248439014E-1,4.421140267E-1
2.119491042E0,-2.180018691E-1,-1.607933689E-1,-1.438179992E0,1.463468829E0
2.129461042E0,-3.024079619E-1,-1.555156173E-1,3.249256808E-1,4.703322025E-1
2.139431042E0,-1.647312311E-2,-3.078113922E-1,2.548245817E-1,3.999434765E-1
2.149400042E0,2.865828199E-2,-3.032833632E-1,1.007285222E0,1.052342917E0
2.159370042E0,-1.522913347E-1,-2.213731726E-1,8.035068333E-2,2.804549242E-1
2.169340042E0,1.645966721E-1,-1.744465444E-1,-5.649480361E-1,6.137507188E-1
2.179309292E0,-2.924198212E-1,4.418834424E-1,5.427923512E-1,7.585472069E-1
2.189278292E0,-2.002141457E-3,-8.902544574E-3,4.853797102E-1,4.854654745E-1
2.199248292E0,1.462564234E-1,-2.947410197E-1,-1.568520277E0,1.602659998E0
2.209218292E0,1.732944054E-1,-4.912752019E-1,-1.017672801E0,1.143258591E0
2.219188292E0,3.451513459E-1,-9.269815726E-2,5.242537540E-1,6.344796281E-1
2.229158292E0,-1.246817508E-1,3.948611574E-1,2.326946831E0,2.363502153E0
2.239127292E0,7.800876383E-2,-8.395949347E-2,-4.392849398E-1,4.539887907E-1
2.249097292E0,-2.894791286E-1,1.949107942E-1,1.773817188E-1,3.914749771E-1
2.259067292E0,-2.326515197E-1,3.900457926E-1,1.297694789E0,1.374872436E0
2.269037292E0,-3.727206022E-1,-1.662762665E-1,-2.773556578E0,2.803423717E0
2.279006292E0,-3.767157489E-1,-3.742006421E-1,-1.721509166E0,1.801536756E0
2.288976292E0,1.879400726E-1,-1.739024793E-1,3.459253711E-1,4.303811166E-1
2.298946292E0,6.982291773E-2,3.838862442E-2,1.716743100E0,1.718591225E0
2.308916292E0,1.629343452E-1,1.765750223E-1,1.346658204E0,1.367923483E0
2.318885292E0,4.406819858E-2,4.270672466E-2,-2.614138091E-1,2.685201110E-1
2.328855292E0,-1.571662863E-1,-1.668970398E-1,-3.420369726E-1,4.117586114E-1
