time,accel_z
1678475682.5003111,6
1678475682.5088031,26
1678475682.508828,26
1678475682.508841,25
1678475682.508859,27
1678475682.5228758,23
1678475682.5229042,8
1678475682.522918,20
1678475682.522936,18
1678475682.5231628,9
1678475682.523287,19
1678475682.538555,3
1678475682.538713,1999
1678475682.5387678,6
1678475682.538792,9
1678475682.538837,15
1678475682.53892,10
1678475682.538988,14
1678475682.550797,14
1678475682.550837,8
1678475682.550893,24
1678475682.550915,27
1678475682.550935,23
1678475682.560315,44
1678475682.560362,26
1678475682.5604868,31
1678475682.560519,27
1678475682.570221,32
1678475682.570248,43
1678475682.570262,38
1678475682.570278,34
1678475682.580656,56
1678475682.580776,33
1678475682.580802,41
1678475682.58082,46
1678475682.5904052,31
1678475682.590441,43
1678475682.5905259,69
1678475682.590574,37
1678475682.599906,43
1678475682.600051,38
1678475682.6001658,50
1678475682.600339,61
1678475682.6234088,58
1678475682.6234822,53
1678475682.623509,51
1678475682.623564,42
1678475682.623583,51
1678475682.6236649,38
1678475682.6237068,37
1678475682.623733,55
1678475682.623819,41
1678475682.634167,41
1678475682.634192,32
1678475682.634294,31
1678475682.634345,31
1678475682.634412,44
1678475682.643757,43
1678475682.643907,44
1678475682.643991,36
1678475682.644012,43
1678475682.656051,30
1678475682.656217,36
1678475682.656411,52
1678475682.6564522,53
1678475682.66673,52
1678475682.666774,65
1678475682.666795,44
1678475682.666812,21
1678475682.6668632,44
1678475682.6752,28
1678475682.675234,51
1678475682.675255,42
1678475682.675415,40
1678475682.6849658,40
1678475682.68507,16
1678475682.685141,34
1678475682.685396,35
1678475682.7093198,22
1678475682.709356,38
1678475682.709447,14
1678475682.709464,18
1678475682.709476,13
1678475682.709506,15
1678475682.709558,29
1678475682.7097049,21
1678475682.7199218,40
1678475682.720086,31
1678475682.720118,6
1678475682.7202492,26
1678475682.7202718,30
1678475682.720319,39
1678475682.737238,42
1678475682.737267,22
1678475682.7372842,29
1678475682.7373,21
1678475682.737321,19
1678475682.7375329,29
1678475682.777972,37
1678475682.7779999,27
1678475682.778014,38
1678475682.778029,26
1678475682.778094,28
1678475682.778123,18
1678475682.7781708,28
1678475682.778195,27
1678475682.778301,17
1678475682.7783449,23
1678475682.7783968,2000
1678475682.778425,17
1678475682.778445,13
1678475682.7784598,36
1678475682.778528,50
1678475682.778548,25
1678475682.7787032,36
1678475682.7887669,29
1678475682.788788,20
1678475682.7888482,33
1678475682.788867,29
1678475682.788943,41
1678475682.789063,32
1678475682.80278,14
1678475682.802805,21
1678475682.802909,1998
1678475682.802934,21
1678475682.803015,20
1678475682.803117,15
1678475682.812568,29
1678475682.8126762,10
1678475682.812709,5
1678475682.81273,13
1678475682.8404238,11
1678475682.84045,20
1678475682.8404639,20
1678475682.840482,9
1678475682.8406148,20
1678475682.8406389,11
1678475682.840653,16
1678475682.8407161,22
1678475682.840766,16
1678475682.840946,19
1678475682.871532,15
1678475682.8716538,11
1678475682.87168,13
1678475682.871734,19
1678475682.871883,9
1678475682.871903,17
1678475682.8719192,10
1678475682.871933,15
1678475682.871947,17
1678475682.871974,6
1678475682.871994,20
1678475682.872011,17
1678475682.872152,20
1678475682.9004312,14
1678475682.900463,13
1678475682.90048,12
1678475682.900678,6
1678475682.900722,6
1678475682.900772,20
1678475682.900815,3
1678475682.9008691,1999
1678475682.9008908,10
1678475682.900943,2
1678475682.900975,10
1678475682.901002,11
1678475682.9189482,24
1678475682.918977,14
1678475682.918993,4
1678475682.9190872,21
1678475682.919109,6
1678475682.919172,15
1678475682.919189,13
1678475682.919206,15
1678475682.9418209,20
1678475682.941858,20
1678475682.941877,3
1678475682.941979,2
1678475682.942039,3
1678475682.942137,9
1678475682.9421911,8
1678475682.942209,15
1678475682.942441,14
1678475682.955412,10
1678475682.9554381,1997
1678475682.955452,10
1678475682.95547,4
1678475682.9555058,9
1678475682.994648,13
1678475682.994723,2
1678475682.9947891,2
1678475682.994875,10
1678475682.994925,3
1678475682.994946,19
1678475682.9949608,9
1678475682.994978,17
1678475682.99499,20
1678475682.9950988,2
1678475682.995121,15
1678475682.9952269,13
1678475682.995282,27
1678475682.995317,25
1678475682.9953651,16
1678475682.995383,24
1678475682.995404,12
1678475683.0184882,11
1678475683.0185118,17
1678475683.018525,18
1678475683.018543,26
1678475683.01861,37
1678475683.018622,31
1678475683.018635,37
1678475683.0186508,24
1678475683.018711,40
1678475683.018738,26
1678475683.041472,34
1678475683.0415401,41
1678475683.041677,31
1678475683.04177,41
1678475683.0419421,32
1678475683.041965,42
1678475683.042132,49
1678475683.042242,29
1678475683.042455,45
1678475683.0572312,31
1678475683.057323,35
1678475683.0574222,37
1678475683.0574489,25
1678475683.0574641,33
1678475683.057476,27
1678475683.0574908,29
1678475683.0575612,38
1678475683.0816908,25
1678475683.082519,25
1678475683.082983,19
1678475683.08312,15
1678475683.083215,20
1678475683.0835352,18
1678475683.083561,26
1678475683.084016,21
1678475683.08419,13
1678475683.084605,18
1678475683.12002,10
1678475683.120131,21
1678475683.1202052,35
1678475683.12035,32
1678475683.120489,39
1678475683.120532,35
1678475683.1207612,31
1678475683.120827,29
1678475683.120854,25
1678475683.121112,32
1678475683.121609,30
1678475683.1217122,32
1678475683.121792,41
1678475683.122263,28
1678475683.1223528,39
1678475683.147973,28
1678475683.148005,28
1678475683.148018,39
1678475683.148036,26
1678475683.148135,32
1678475683.148196,28
1678475683.148216,27
1678475683.1482959,21
1678475683.1484742,16
1678475683.148582,20
1678475683.148712,22
1678475683.148735,15
1678475683.148934,30
1678475683.201875,19
1678475683.201962,30
1678475683.20199,29
1678475683.202004,29
1678475683.202107,33
1678475683.202129,22
1678475683.202143,28
1678475683.202157,21
1678475683.2021708,28
1678475683.202189,27
1678475683.202347,22
1678475683.202367,39
1678475683.2024179,30
1678475683.2024739,33
1678475683.202493,34
1678475683.2025118,24
1678475683.202532,32
1678475683.202677,20
1678475683.202699,17
1678475683.202715,17
1678475683.202739,10
1678475683.2027829,19
1678475683.214989,7
1678475683.2150111,22
1678475683.215132,22
1678475683.215153,15
1678475683.215414,25
1678475683.215728,19
1678475683.2475111,18
1678475683.2475488,31
1678475683.247814,21
1678475683.2480798,24
1678475683.248106,23
