time,accel_z
1678122960.2774668,23
1678122960.281406,45
1678122960.2818828,55
1678122960.2819011,58
1678122960.282353,67
1678122960.284041,79
1678122960.284161,84
1678122960.2851021,102
1678122960.285704,108
1678122960.28594,104
1678122960.285953,107
1678122960.2859662,127
1678122960.2886982,137
1678122960.289126,134
1678122960.289833,134
1678122960.29076,127
1678122960.29582,115
1678122960.2967439,103
1678122960.297726,89
1678122960.297793,76
1678122960.297806,66
1678122960.297822,61
1678122960.2979,60
1678122960.298142,63
1678122960.2987368,67
1678122960.298841,77
1678122960.3000581,91
1678122960.300072,110
1678122960.300087,136
1678122960.300212,159
1678122960.301128,185
1678122960.3012228,203
1678122960.3012412,225
1678122960.301748,227
1678122960.301877,231
1678122960.30205,229
1678122960.30269,224
1678122960.314236,220
1678122960.314809,219
1678122960.3160908,226
1678122960.3170571,229
1678122960.317796,228
1678122960.318364,231
1678122960.31882,233
1678122960.3189309,231
1678122960.31895,222
1678122960.319867,215
1678122960.31989,201
1678122960.320638,185
1678122960.320739,170
1678122960.3208268,155
1678122960.321087,141
1678122960.321106,130
1678122960.321719,120
1678122960.321943,106
1678122960.330933,97
1678122960.330955,86
1678122960.3310301,73
1678122960.3311412,57
1678122960.332007,38
1678122960.3332999,14
1678122960.334616,1990
1678122960.344794,1961
1678122960.3448262,1922
1678122960.34493,1889
1678122960.345014,1856
1678122960.3451269,1823
1678122960.346099,1792
1678122960.437967,1764
1678122960.438113,1733
1678122960.439071,1712
1678122960.441359,1696
1678122960.441859,1681
1678122960.4420102,1673
1678122960.443685,1671
1678122960.443821,1669
1678122960.4439812,1671
1678122960.44514,1675
1678122960.445964,1681
1678122960.4460769,1687
1678122960.446207,1704
1678122960.447998,1703
1678122960.4480588,1693
1678122960.448074,1687
1678122960.4480908,1693
1678122960.448498,1707
1678122960.4510038,1732
1678122960.4558349,1771
1678122960.455916,1813
1678122960.455935,1859
1678122960.455989,1901
1678122960.4560168,1953
1678122960.45712,6
1678122960.457815,56
1678122960.4580328,108
1678122960.45871,161
1678122960.4590678,204
1678122960.4604852,243
1678122960.462857,280
1678122960.4630258,308
1678122960.46309,332
1678122960.463107,351
1678122960.4639459,369
1678122960.4679601,383
1678122960.477344,397
1678122960.4775622,412
1678122960.477654,422
1678122960.477723,433
1678122960.477955,442
1678122960.478036,458
1678122960.478312,485
1678122960.478333,514
1678122960.4792671,541
1678122960.480425,560
1678122960.481245,576
1678122960.4819741,610
1678122960.481995,618
1678122960.48206,854
1678122960.482072,672
1678122960.482087,467
1678122960.4868622,273
1678122960.48688,182
1678122960.486926,145
1678122960.494708,38
1678122960.494739,1872
1678122960.494751,1799
1678122960.4947681,1798
1678122960.4948301,1802
1678122960.494899,1790
1678122960.495114,1768
1678122960.495759,1747
1678122960.50292,1737
1678122960.503045,1740
1678122960.503113,1752
1678122960.514848,1765
1678122960.522938,1771
1678122960.523008,1764
1678122960.5233111,1746
1678122960.53169,1720
1678122960.531754,1671
1678122960.531967,1637
1678122960.53205,1603
1678122960.532063,1569
1678122960.532081,1537
1678122960.533969,1505
