time,accel_z
1678474368.750164,137
1678474368.750197,144
1678474368.750338,154
1678474368.750561,162
1678474368.750578,171
1678474368.750697,180
1678474368.750883,190
1678474368.750914,199
1678474368.751123,209
1678474368.751351,218
1678474368.751411,225
1678474368.7516632,230
1678474368.751741,236
1678474368.7518709,239
1678474368.7521431,242
1678474368.752179,242
1678474368.752241,240
1678474368.7523808,240
1678474368.752427,237
1678474368.7525382,235
1678474368.752675,232
1678474368.752814,229
1678474368.752973,228
1678474368.753144,226
1678474368.753172,224
1678474368.753261,223
1678474368.7533598,221
1678474368.753514,218
1678474368.753626,216
1678474368.7537348,215
1678474368.753869,211
1678474368.753901,209
1678474368.754433,206
1678474368.7545128,205
1678474368.754542,204
1678474368.7546072,202
1678474368.7546299,199
1678474368.7546802,196
1678474368.754805,192
1678474368.754894,190
1678474368.7550578,187
1678474368.7552378,182
1678474368.7553222,173
1678474368.7554529,165
1678474368.7555242,157
1678474368.755579,146
1678474368.755851,136
1678474368.755906,125
1678474368.755936,112
1678474368.756108,100
1678474368.756217,89
1678474368.756299,77
1678474368.756347,68
1678474368.756576,62
1678474368.756654,56
1678474368.756903,52
1678474368.7572212,50
1678474368.7575371,49
1678474368.757848,47
1678474368.758081,46
1678474368.758107,45
1678474368.7583628,43
1678474368.758838,40
1678474368.7588658,37
1678474368.759278,32
1678474368.759299,30
1678474368.759312,28
1678474368.7593322,28
1678474368.759847,30
1678474368.7600589,31
1678474368.7600908,34
1678474368.760109,37
1678474368.760121,42
1678474368.760206,46
1678474368.760229,52
1678474368.842174,57
1678474368.8424802,68
1678474368.84262,75
1678474368.842877,82
1678474369.274789,89
1678474369.274823,1906
1678474369.274896,1895
1678474369.27493,1886
1678474369.2750452,1879
1678474369.27507,1871
1678474369.275095,1864
1678474369.275182,1856
1678474369.2752361,1850
1678474369.2752671,1844
1678474369.2756,1842
1678474369.2756329,1841
1678474369.275685,1840
1678474369.2757068,1841
1678474369.275765,1843
1678474369.27579,1844
1678474369.2758248,1847
1678474369.275965,1849
1678474369.276767,1852
1678474369.2768,1853
1678474369.2768152,1855
1678474369.2768269,1858
1678474369.276845,1862
1678474369.277042,1867
1678474369.277065,1874
1678474369.2771132,1881
1678474369.277142,1889
1678474369.277161,1894
1678474369.277251,1898
1678474369.277282,1903
1678474369.277379,1904
1678474369.277466,1909
1678474369.277492,1913
1678474369.27751,1919
1678474369.277524,1923
1678474369.2775402,1930
1678474369.27759,1932
1678474369.277666,1928
1678474369.277694,1920
1678474369.277745,1909
1678474369.277764,1897
1678474369.2777941,1884
1678474369.2778618,1873
1678474369.277884,1863
1678474369.2779148,1854
1678474369.27793,1847
1678474369.278006,1840
1678474369.278074,1835
1678474369.278097,1831
1678474369.27811,1828
1678474369.278123,1827
1678474369.278212,1827
1678474369.278235,1828
1678474369.278275,1827
1678474369.2782981,1827
1678474369.278317,1827
1678474369.278356,1830
1678474369.27841,1830
1678474369.278431,1833
1678474369.278448,1837
1678474369.2785,1843
1678474369.278527,1849
1678474369.278543,1857
1678474369.278555,1865
1678474369.2785668,1871
1678474369.278656,1877
1678474369.2786791,1882
1678474369.278692,1886
1678474369.278774,1891
1678474369.278854,1897
